Title,Published_date,Views,Likes,Comments,CategoryId,VideoId,Channel
We Built Wells in Africa!,2022-05-21,25795772,1425496,43284,22,aSQUg-h8G4s,Beast Philanthropy
Anything You Can Fit In The Circle I'll Donate To Charity,2022-04-08,6124635,369081,7776,22,KVKqOwN6uL0,Beast Philanthropy
We Gave Away 1 Million Meals!,2022-03-11,4120987,305501,9215,22,ASYnuZMXpxM,Beast Philanthropy
Giving Away $400,000 in Merch with Dream!,2022-02-26,8603583,490544,16613,22,wJtTRfFSnbc,Beast Philanthropy
You Changed This Family's Life!,2022-01-12,4655028,390549,11441,22,YnE8nAyu8HQ,Beast Philanthropy
Cleaning the Ocean!,2021-12-11,7156152,408612,9992,22,W19fHXDaUw4,Beast Philanthropy
I Fed 10,000 Families For Thanksgiving!,2021-11-24,6819112,509660,31471,22,ZdU3rWin0EQ,Beast Philanthropy
Helping Hurricane Survivors,2021-09-21,9391757,648893,21980,22,VcvQ02eRhM4,Beast Philanthropy
We Fed Five Cities in 30 Days!,2021-07-27,9552925,740598,26167,22,yEBK_Ayeiyc,Beast Philanthropy
Giving Away 50,000 Cookies!,2021-06-24,13897255,648911,26309,22,nl79pan4h6U,Beast Philanthropy
Giving $300,000 to Students,2021-05-06,15530461,876445,38400,22,HpVGe9EE9-0,Beast Philanthropy
Feeding a City in Need,2021-04-05,7738822,759246,37174,22,5rkMxc7yGSk,Beast Philanthropy
I Opened My Own Charity!,2021-03-26,6403210,774804,37422,22,f-empfLWbIk,Beast Philanthropy
S.T.A.L.K.E.R. Clip,2007-04-09,27459,330,522,24,Chfvwn2W6z4,MrBeast
Taru Christmas dance,2006-12-23,9697,108,60,24,A1GTlvv1mcs,MrBeast
Taru Mortal Combat,2006-08-24,30198,198,207,24,rE3X0NlQnpE,MrBeast
